"Type","Status","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Domestic Residence & Permissions applications","Received","Ukraine","93","125","117","102","158","262","198","145"
"Domestic Residence & Permissions applications","Received","United Arab Emirates (the)","*","*","10","0","*","0","*","*"
"Domestic Residence & Permissions applications","Received","United States Minor Outlying Islands (the)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","United States of America (the)","630","625","650","574","602","766","798","594"
"Domestic Residence & Permissions applications","Received","Uruguay","*","*","*","*","*","5","8","13"
"Domestic Residence & Permissions applications","Received","Uzbekistan","*","5","*","5","*","8","8","9"
"Domestic Residence & Permissions applications","Received","Vanuatu","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Venezuela (Bolivarian Republic of)","87","83","122","105","116","89","42","33"
"Domestic Residence & Permissions applications","Received","Viet Nam","47","57","65","57","75","163","100","112"
"Domestic Residence & Permissions applications","Received","Virgin Islands (British)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Virgin Islands (U.S.)","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Wallis and Futuna","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Received","Western Sahara","0","*","0","0","0","*","*","*"
"Domestic Residence & Permissions applications","Received","Yemen","0","*","*","5","8","13","29","25"
"Domestic Residence & Permissions applications","Received","Zambia","*","7","13","7","6","21","13","20"
"Domestic Residence & Permissions applications","Received","Zimbabwe","31","363","334","322","456","852","1002","762"
"Domestic Residence & Permissions applications","Received","*Other","104","105","73","85","82","240","313","108"
"Domestic Residence & Permissions applications","Received","Dual Nationality","27","31","37","27","18","105","60","19"
"Domestic Residence & Permissions applications","Granted","Afghanistan","6","61","43","51","161","228","624","642"
"Domestic Residence & Permissions applications","Granted","Åland Islands","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Granted","Albania","20","187","167","153","241","168","142","88"
"Domestic Residence & Permissions applications","Granted","Algeria","14","86","57","86","183","653","1780","1902"
"Domestic Residence & Permissions applications","Granted","American Samoa","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Granted","Andorra","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Granted","Angola","4","11","5","5","20","22","25","33"
"Domestic Residence & Permissions applications","Granted","Anguilla","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Granted","Antarctica","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Granted","Antigua and Barbuda","0","0","0","0","0","*","*","0"
"Domestic Residence & Permissions applications","Granted","Argentina","10","14","10","16","29","35","40","29"
"Domestic Residence & Permissions applications","Granted","Armenia","*","5","*","*","*","4","*","4"
"Domestic Residence & Permissions applications","Granted","Aruba","0","0","0","0","0","0","0","0"
"Domestic Residence & Permissions applications","Granted","Australia","83","93","93","65","52","56","65","57"
"Domestic Residence & Permissions applications","Granted","Azerbaijan","*","*","*","*","4","5","8","8"
"Domestic Residence & Permissions applications","Granted","Bahamas (the)","*","0","*","*","*","*","0","*"
"Domestic Residence & Permissions applications","Granted","Bahrain","6","9","4","*","*","*","*","*"
"Domestic Residence & Permissions applications","Granted","Bangladesh","56","232","86","81","164","276","238","538"
"Domestic Residence & Permissions applications","Granted","Barbados","*","*","*","*","*","*","*","*"
"Domestic Residence & Permissions applications","Granted","Belarus","8","13","11","10","20","32","38","16"
"Domestic Residence & Permissions applications","Granted","Belize","0","0","*","0","*","*","0","*"
